Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you can’t stay focused long enough to finish important tasks?,"

Section 2: Cross-Over Questions

Q4. How often do you feel tired or drained even on days when you haven’t worked very hard?",Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. What’s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,"

Q15. Do you feel confident you could clearly name your top 3 personal values?","Q16a. Please try listing up to 3 values that are most important to you. Don't worry if you’re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 – optional),Q16c. Please list a third personal value (Value 3 – optional)
"Yes, I consent",21–30 minutes,"Social media scrolling, Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise",To not get distracted by colleagues in work who are busy at different periods to me.,Frustrated,35 - 44,Female,Employed full-time,UK,Somewhat,Family,Trust,Growth
"Yes, I consent",5–10 minutes,"Multitasking / switching tasks, Background noise / environment",Often,Almost always,Almost always,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Leave phone in another room,Frustrated,25 - 34,Male,Employed full-time,England,Yes definitely,Loyalty,Respect,Understanding
"Yes, I consent",21–30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Rarely,Sometimes,Neutral,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",focus immediately when you want to,annoyed,18 - 24,Male,Student,UK,Somewhat,"honesty, friendliness",,
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Rarely,Often,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise",I would like to be less concerned or curious about notifications. I'm always a bit worried that I'll miss something important.,Frustrated,35 - 44,Female,Self-employed,United Kingdom ,Yes definitely,Honesty,Resilience ,Reliability
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Often,Often,Somewhat misaligned,Neutral,"Silencing notifications, Using apps/tools to block distractions, Taking breaks / exercise",i would delete all social media off the internet ,annoyed,25 - 34,Male,Unemployed,united kingdom,Not really,"freedom, family, respect ",Loyalty,spirituality 
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling, Colleagues, family, or friends",Sometimes,Often,Often,Very strongly aligned,I feel somewhat more focused,Taking breaks / exercise,Self discipline to keep away from my phone,Frustrated,35 - 44,Female,Employed full-time,"United Kingdom, Bristol",Somewhat,Loyalty,Kindness,Trustworthy
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks",Sometimes,Often,Sometimes,Neutral,Neutral,Scheduling focus time / using timers,I’d further reduce distractions in my environment,Agitated,35 - 44,Male,Employed full-time,United States,Yes definitely,Be Present & Practice Mindfulness,Keep Life Simple,Cultivate Consistency Over Perfection
"Yes, I consent",21–30 minutes,"Email or messaging apps, Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces","For me the biggest distraction throughout the day is the constant flurry of emails, all of which on the face of it demand immediate response, even though many are not important.  If I could find a way to filter emails effectively to prioritise and hold for a period of time before releasing to me at set times in the day it would free up my time to focus on more important issues.",Frustrated,45 - 54,Male,Employed full-time,United Kingdom of Great Britain and Northern Ireland,Yes definitely,Honesty,Fairness,Compassion
"Yes, I consent",21–30 minutes,"Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",Removing distractions and working from home,Frustrated,25 - 34,Male,Employed full-time,United Kingdom,Yes definitely,"Honesty, , ",Decency,Enlightenment
"Yes, I consent",More than 30 minutes,"Background noise / environment, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values","I would love to be able to get rid of some ""boring"" tasks such as housework, cooking etc. in order to have a lot more time to focus on task that bring me joy and that make me feel accomplished when I finish them.",frustrated,35 - 44,Female,Employed part-time,England,Yes definitely,honesty,constantly improving myself,working hard on fulfilling my goals/dreams
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,Working in quiet spaces,work on my own at home,annoyed,25 - 34,Female,Employed full-time,ireland,Somewhat,trustworthy,kind,loyal
"Yes, I consent",21–30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Often,Often,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,Remove distractions,frustrated,35 - 44,Female,Self-employed,UK,Somewhat,family,love,kindness
"Yes, I consent",21–30 minutes,"Email or messaging apps, Social media scrolling, Internal thoughts/worries",Sometimes,Sometimes,Rarely,Somewhat misaligned,I feel somewhat more focused,None of the above,Making it so the tasks I need to focus on are ones that keep my attention,Annoyed,25 - 34,Non-binary,Unemployed,USA,Somewhat,Equality,Positive liberty,Democracy
"Yes, I consent",11–20 minutes,Smartphone notifications,Never,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,Not applicable,Not applicable,45 - 54,Male,Self-employed,UK,Yes definitely,They are personal values,,
"Yes, I consent",5–10 minutes,"Smartphone notifications, Email or messaging apps",Often,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise",fewer interuptions,frustrated,25 - 34,Male,Student,UK,Somewhat,"determination, development, love",,
"Yes, I consent",More than 30 minutes,Multitasking / switching tasks,Rarely,Sometimes,Rarely,Very strongly aligned,I feel somewhat more focused,Working in quiet spaces,nothing,perplexed,45 - 54,Female,Employed full-time,United kingdom,Yes definitely,Faith,Family,Charity
"Yes, I consent",More than 30 minutes,Email or messaging apps,Sometimes,Rarely,Rarely,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",I would lock my phone away.,annoyed,35 - 44,Male,Employed full-time,UK,Somewhat,"Honest, hard working, reliable",kind,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Often,Somewhat aligned,Neutral,"Silencing notifications, Using apps/tools to block distractions, Taking breaks / exercise","Noise cancellation speakers would be great because having earphones on is a bit extreme especially when for a long period of time. I honestly love my beats earphones and always use them to block out background noises to help me stay focused, but it feels weird wearing that for a prolonged period of time especially when I am at work or in my home office.",Strained,25 - 34,Male,Employed full-time,"USA, North East",Somewhat,honesty,hard work,dedication
"Yes, I consent",11–20 minutes,"Social media scrolling, Background noise / environment, Colleagues, family, or friends",Sometimes,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,Working in quiet spaces,Change the environment to a quiet one without sounds that would distract me,Irritated ,25 - 34,Female,Employed full-time,Uk,Somewhat,"Family, health, balance ",,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,Working in quiet spaces,I would take my phone away,Distressed,35 - 44,Female,Employed full-time,United Kingdom,Not really,"family, kindness, acceptance",love,
"Yes, I consent",5–10 minutes,"Social media scrolling, Multitasking / switching tasks, Background noise / environment",Sometimes,Sometimes,Often,Somewhat misaligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",have anyone that i can check in with,lost,55 +,Female,Unemployed,south yorkshire,Somewhat,"objectivity, ",generosity,persistance
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Often,Rarely,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Making sure I want to complete the task I am doing. ,Annoyed,25 - 34,Male,Unemployed,England,Somewhat,Being kind,Helping others when possible,Family
"Yes, I consent",11–20 minutes,"Smartphone notifications, Multitasking / switching tasks, Internal thoughts/worries",Often,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Some training on how to concentrate on tasks,frustrated,55 +,Male,Other,United Kingdom East Anglia,Somewhat,Honesty ,Integrity,Kindness
"Yes, I consent",11–20 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Often,Sometimes,Often,Somewhat aligned,I feel somewhat more focused,Working in quiet spaces,warn the person distracting me that I am going to be busy for x amount of time to discourage interruptions,frustrated,55 +,Female,Unemployed,UK England,Somewhat,honesty,caring,loyalty
"Yes, I consent",21–30 minutes,"Email or messaging apps, Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Often,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Using apps/tools to block distractions, Taking breaks / exercise",I would create a better routine that focuses on the most important things,Worried,25 - 34,Male,Employed full-time,USA,Yes definitely,Confidence,Humility,Kindness
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment, Internal thoughts/worries",Never,Almost always,Sometimes,Somewhat aligned,No noticeable difference,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",To be able to stop worrying when I'm concerned about something.,Frustrated,55 +,Female,Employed part-time,UK,Somewhat,Loyalty,Kindness,Helpfulness
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Sometimes,Often,Often,Somewhat misaligned,I feel somewhat more focused,Taking breaks / exercise,To be able to stop negative thoughts or worries which often are distracting factors in activities ,Dissatisfied ,35 - 44,Male,Employed full-time,"United Kingdom, Devon",Not really,Family,Hardwork ,Honesty 
"Yes, I consent",5–10 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Often,Often,Almost always,Somewhat aligned,No noticeable difference,"Silencing notifications, Working in quiet spaces",I would live alone.,Frustrated,45 - 54,Female,Other,United States of America,Not really,honesty,respect,responsibility
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Often,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Aligning tasks with personal priorities or values",Silence background noises,Disoriented,45 - 54,Female,Employed full-time,UK,Yes definitely,Honesty,Diligence,Empathy
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Almost always,Sometimes,Often,Not aligned at all,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces","Ability to segregate away from people, (colleagues, family, the pet dog), all seem to need constant assistance/help.",Frustrated,55 +,Male,Employed full-time,UK,Somewhat,"Peacefulness, responsibility & independence.",Kindness,Understanding
"Yes, I consent",11–20 minutes,Multitasking / switching tasks,Sometimes,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",nothing i can think of,distracted,45 - 54,Female,Employed full-time,united kingdom,Somewhat,honesty,reliability,independence
